Designator,Mid X,Mid Y,Rotation,Layer
C1,155.375,-133.775,180.0,top
C2,159.0,-136.375,90.0,top
C3,160.55,-128.9,180.0,top
C5,158.525,-133.775,180.0,top
C6,158.55,-132.4,180.0,top
C7,155.4,-132.4,0.0,top
E1,159.7,-122.3835,90.0,top
J1,160.25,-143.855,0.0,top
J2,167.375,-128.895,0.0,top
L1,159.7,-126.65,270.0,top
R1,154.45,-143.025,90.0,top
R2,154.45,-139.85,270.0,top
R3,161.325,-137.325,180.0,top
S1,167.275,-141.325,90.0,top
U1,160.265,-134.345,270.0,top
U2,156.075,-136.375,180.0,top
Y1,164.325,-136.8875,90.0,top
